Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
dialog,dialogue
dialogs,dialogues
GUI,gooey
CAD,cad
json,Jason
device,the vice
firmware,firma
firmware,forma
graph,graff
graph,graf
graph,groff
vertex,vortex
boolean,bullion
append,a penned
cancel,council
cancel,counsel
constants,constance
serial,cereal
repos,repose
num,numb
num,noma
num,nome
cores,cors
byte,bite
bytes,bites
program,programme
vim,vin
handle,handel
list,wist
vulkan,vulcan
able,abel
use,yous
kernel,colonel
install,instore
